pdf_name,title,author,author_place,journal,volume,year,pages
"ACC, 1970.pdf",Assyrian Colonies in Cappadocia,Louis Lawrence Orlin,The University of Michigan,,,1970,
"AHK, 1925.pdf",Assyrische Handelskolonien in Kleinasien aus dem dritten Jahrtausend,Benno Landsberger,,,,1925,
"AKT 1, 1990.pdf",ANKARA KÜLTEPE TABLETLERİ,"Prof. Dr. Emin BİLGİÇ, Dr. Hüseyin SEVER, Dr. Cahit GÜNBATTI, Dr. Sabahattin BAYRAM",Ankara,Türk Tarih Kurumu Yayınları,VI. Dizi — Sa. 33,1990,
AKT 11a.pdf,"Killtepe tabletleri XI-a. I. Cilt, Su-istar'a ait belgeler",Hakan Erol,Ankara,Türk Tarih Kurumu Yayınları,VI. Dizi - Sayı 33,2018,"1. c. (xxii, 381 s.)"
"AKT 2, 1995.pdf",ANKARA KÜLTEPE TABLETLERİ II,K.R. Veenhof,,,,1995,
"AKT 3, 1995.pdf",Ankaraner Kültepe-Texte III,Emin Bilgiç und Cahit Günbattı,Stuttgart,Freiburger Altorientalische Studien,3,1995,15–193
AKT 4.pdf,Kültepe Tabletleri IV,Irfan Albayrak,Ankara,Türk Tarih Kurumu Yayınları,VI/32b,2006,
"AKT 5, 2008.pdf",ANKARA KÜLTEPE TABLETLERİ V,KLAAS R. VEENHOF,Ankara,Kültepe Bilimsel Yayınları,6,2008,
AKT 5.pdf,ANKARA KÜLTEPE TABLETLERİ V,KLAAS R. VEENHOF,Ankara,Kültepe Bilimsel Yayınları,VI,2008,
"AKT 6, 2008.pdf","The Archive of Kuliya, son of Al£abum",KLAAS R. VEENHOF,Ankara,Kültepe Bilimsel Yayınları,VI,2008,
AKT 6a.pdf,The Archive of the Salim-Assur Family,Mogens Trolle Larsen,Ankara,Turk Tarih Kurumu Yayınları,VI. Dizi- Sayı 33 d-a,2010,"xvi, 585 s."
AKT 6b.pdf,Kiiltepe tabletleri VI-b: The Archive of the Salim-Assur family. Volume 2: Ennam- Assur,Mogens Trolle Larsen,Ankara,Turk Tarih Kurumu,,2013,"xvii, 470 s."
AKT 6c.pdf,Küiltepe Tabletleri VI-c: The Archive of the Salim-Assur Family: Volume 3: Ali-ahum,Mogens Trolle Larsen,Ankara,Turk Tarih Kurumu Yayınları,VI. Dizi - Sayı 33d-c,2014,396
AKT 6d.pdf,"Killtepe tabletleri VI-d: the archive of the Salim-Assur family. Volume 4, Texts concerning non-family members",Mogens Trolle Larsen,Ankara,Turk Tarih Kurumu,4,2018,"xv, 246 s."
AKT 6e.pdf,"Kultepe tabletleri VI-e: the archive of the Salim-Assur family. Volume 5, Anonymous texts and fragments",Mogens Trolle Larsen,Ankara,Turk Tarih Kurumu Yayınları,VI. Dizi - Say1: 33d-e,2021,"xv, 446 s."
AKT 7a.pdf,Kültepe tabletleri VII-a : Aššur-rē’ī ailesinin arşivi : I. cilt : Aššur-rē’ī’nin kendi metinleri,"Sebahattin Bayram, Remzi Kuzuoğlu",Ankara,Türk Tarih Kurumu,VI. Dizi - Sayı: 33e-a,2014,659 s.
AKT 7b.pdf,KÜLTEPE TABLETLERİ VII-b Aššur-rē’ī Ailesinin Arşivi II. Cilt: Pilah-İštar’ın Metinleri,Sebahatti̇n Bayram - Remzi̇ Kuzuoğlu - Ömer Kahya,Ankara,Türk Tarih Kurumu Yayınları,33e-b,2024,
"AOATT, 1972.pdf",ASPECTS OF OLD ASSYRIAN TRADE AND ITS TERMINOLOGY,K. R. Veenhof,Leiden,STUDIA ET DOCUMENTA AD IURA ORIENTIS ANTIQUI PERTINENTIA,X,1972,
"APU, 1995.pdf",Die altassyrischen Privaturkunden,Andrea Marie Ulshöfer,Stuttgart,Altassyrische Texte und Untersuchungen,4,1995,1–498
AS16_1965_FS_Landsberger.pdf,Studies in Honor of Benno Landsberger on His Seventy-Fifth Birthday,Benno Landsberger,Chicago,Assyriological Studies,16,1965,1-121
"ATHE, 1960.pdf",DIE ALTASSYRISCHEN TEXTE DES ORIENTALISCHEN SEMINARS DER UNIVERSITÄT HEIDELBERG UND DER SAMMLUNG ERLENMEYER-BASEL,Burkhart Kienast,Heidelberg,,1,1960,
Abbreviations for AfO.pdf,Register Assyriologie,M. Jursa und M. Weszeli,,Archiv für Orientforschung,48/49,2001/2002,
Abkürzungen_gesamt_ONLINE_Liste_1x.pdf,Die akkadische Gebetsserie “Handerhebung” ...,E. Ebeling,Berlin,Archiv für Orientforschung,52,1953,
Abkürzungen_gesamt_ONLINE_Liste_2x.pdf,Die Rolle des Königs und seiner Familie nach den Texten von Ugarit,J. Aboud,Münster,,,1994,FARG 27
Accounting History.pdf,Accounting history as history: a social accountability perspective on the British ‘industrial revolution’,R.A. Bryer,"Warwick Business School, University of Warwick",,,2000,
"Adams, Robert McC. - Review of The Old Assyrian City-State and Its Colonies by M.T. Larsen. JNES 37, 1978, pp. 265-269.pdf",Review: [untitled],Robert McC. Adams,,Journal of Near Eastern Studies,37,1978,265-269
"Adams, Robert McC. et al - Anthropological Perspectives on Ancient Trade. CurAn 15, 1974 239-258.pdf",Anthropological Perspectives on Ancient Trade,Robert McC. Adams,Chicago,Current Anthropology,15,1974,239-258
"Adams, Robert McC. et al - The Mesopotamian Social Landscape. A View from the Frontier. BASOR SS 20, 1974 1-20.pdf",The Mesopotamian Social Landscape: A View from the Frontier,"Robert McC. Adams, C. C. Lamberg-Karlovsky and William L. Moran",,Bulletin of the American Schools of Oriental Research. Supplementary Studies,20,1974,20-Jan
"AfO - Assyriologie, Register (1978-2004).pdf",Zur Kuyunjik-Sammlung,R. Borger,Göttingen,,,1978-2004,331-395
AfO 52 2011.pdf,Register Assyriologie,M. Weszeli,Wien,Archiv für Orientforschung,Lll,2011,463-886
AfO Register  (1978-2004).pdf,"Texte, Textstellen (1973-1978)",Kh. Nashef,,AAA,20,1973-1978,71ff.; 142f.146
AfO Register 26 (1978-1979).pdf,"Texte, Textstellen (1973-1978)",Kh. Nashef,,BBB,20,1973-1978,71ff.; 142f.146
AfO Register 27 (1980).pdf,"Die sumerischen ""Titel"" meist nach",Wilcke,,ASAW,65/4,1978-1979,205ff.
AfO Register 28 (1981-1982).pdf,"Assyrlotogte, ttegister, Ufyuf",,,,,1981-1982,
AfO Register 29-30 (1983-1984).pdf,"Assyriologie, Register, I",Walker,,Archaeologia,79,1983-1984,"43, Nr.53"
AfO Register 31 (1984).pdf,"Kärki, StOr 55/1",von Weiher,,SBTU,2,1984,23/f.
AfO Register 33 (1986).pdf,La statue de Tell Fekherye,"Abou-Assaf, Bordreuil und Millard",,JNES,43,1984,253ff.
AfO Register 34 (1987).pdf,"Kärki, StOr 55,83ff.",,,,,1987,"9,242-247"
AfO Register 35 (1988).pdf,La statue de Tell Fekherye,"Abou Assaf, Bordreuil und Millard",,RA,79,1988,67f.
AfO Register 38-39 (1991-1992).pdf,"Assyriologie, Register, Texte: AAA - a b- g i n8 gù -dé-dé",,,,,1991-1992,
AfO Register 40-41 (1993-1994).pdf,"Assyriologie, Sfhjtufs-!Texte: BBB!.!BCM!)duhn ! 4",,,,,1993-1994,
AfO Register 42-43 (1995-1996).pdf,"Assyriologie, Register, Texte: AfO / ARET",,,,,1995-1996,
AfO Register 44-45 (1997-1998).pdf,"Assyriologie, Register, Texte: AAA .!ADD",,,,,1997-1998,
AfO Register 46-47 (1999-2000).pdf,"Kawasaki, Orient",,,,33,1999-2000,81 ff.
AfO Register 48-49 (2001-2002).pdf,"Assyriologie, Register, Texte: AAA .!Aegyptus",,,,,2001-2002,437
AfO Register 50 (2003-2004).pdf,"Assyriologie, Register, Texte: AAA - BgP",,,,,2003-2004,
AfO_Register.pdf,Zur Kuyunjik-Sammlung,R. Borger,Göttingen,,,1978-2004,331-395
"Albayrak, Irfan - Fünf Urkunden aus dem Archiv von Peruwa, Sohn von Suppibra. JEOL 39, 2005 95-105.pdf","Fünf Urkunden aus dem Archiv von Peruwa, Sohn von Suppibra",Irfan Albayrak,Ankara,Ex Oriente Lux,39,2005,96
"Albayrak, Irfan - Kultepe Tabletleri IV. Kt.T-6 Dizi - Sa. 33b, 2006.pdf",Kültepe Tabletleri,İrfan Albayrak,Ankara,Türk Tarih Kurumu Yayınları,VI. Dizi — Sa. 33 b,2006,"xxii, 167, 71 s."
"Albayrak, Irfan - Kultepe Tabletleri IV. VI. Dizi - Sa. 33b, 2006.pdf",Kültepe Tabletleri,İrfan Albayrak,Ankara,Türk Tarih Kurumu Yayınları,VI. Dizi — Sa. 33 b,2006,"xxii, 167, 71 s."
"Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf",1963 Yılı Kültepe Kazısında Ele Geçen Altı Yeni Tablet,"Esma Öz, İrfan Albayrak",,Archivum Anatolicum,8,2005,21-45
Albayrak_1998_3UHKB_Koloni caginda_p1-14.pdf,"KOLONİ ÇAĞINDA YERLİ BİR BAYAN ""MADAWADA""",İrfan ALBAYRAK,,,,1998,
Albayrak_1998_ukhb3_turkish.PDF,"KOLONİ ÇAĞINDA YERLİ BİR BAYAN ""MADAWADA""",İrfan ALBAYRAK,,,,1998,
Albayrak_2000_ArAn4_testament.pdf,EIN NEUES ALTASSYRISCHES TESTAMENT AUS KÜLTEPE,İrfan Albayrak,Ankara,,,2000,
Albayrak_2000_ArAn4_vasiyetname.pdf,KÜLTEPE'DEN YENİ BİR VASİYETNÂME,İrfan ALBAYRAK,Ankara,,,2000,
Albayrak_2001_AMMY2000_ma'usu.PDF,"KÜLTEPE METİNLERİNDE GEÇEN ma' û ""s&' KELİMESİ",İrfan Albayrak,,,,2001,
Albayrak_2002_ArAn5_listesi.pdf,KÜLTEPE'DEN DEĞİŞİK BİR MASRAF LİSTESİ,Irfan Albayrak,,,,2002,
Albayrak_2003_ArAn 6-1_Kanes Karum unun bir mektubu.pdf,KANİ S-KÂRUM'UNUN BİR MEKTUBU,Irfan Albayrak,Kani,Anadolu Medeniyetleri Müzesi 2002 Yıllığı,,2003,342-356
Albayrak_2003_ArAn6_karum.pdf,KANİS-KÂRUM UNUN BÏR MEKTUBU,Irfan ALBAYRAK,Kani (Kültepe),,,2003,
Albayrak_2003a_kütepe belgelerine göre.PDF,KÜLTEPE BELGELERİNE GÖRE KÂRUM DAİRESİNİN İDARÎ YAPISI ve POLİTİK STATÜSÜ,İrfan ALBAYRAK,,Anadolu Medeniyetleri Müzesi,2002,2003,249
Albayrak_2004_ArAn 7-1_ Onlarla oturacak.pdf,Kültepe'nin I-b Katından Ele Geçen Bir Tabletin Değerlendirilmesi,Irfan Albayrak,,,,2004,21-Jan
Albayrak_2004_ArAn7_usbat_aklat.pdf,Kültepe'nin I-b Katından Ele Geçen Bir Tabletin Değerlendirilmesi,İrfan Albayrak,Ankara,,7,2004,21-Jan
Albayrak_2004_LarsenFS_live.pdf,"SHE WILL LIVE, EAT AND BE ANOINTED TOGETHER WITH THEM",İrfan Albayrak,,,,2004,
Albayrak_2005_5UHKB_1963 yili kazilarinda_p21-32.pdf,1963 YILI KAZILARINDA ELE GEÇEN BİR GRUP KÜLTEPE TABLETİ,Han ALBAYRAK,,,,1998,14-Jan
Albayrak_2005_JEOL39_5urkunden.PDF,"Fünf Urkunden aus dem Archiv von Peruwa, Sohn von Uppibra",Irfan Albayrak,Ankara,Ex Oriente Lux,39,2005,96
Albayrak_2005a_kumaṣ ve kalay sevkiyatina iliṣkin.PDF,KUMAŞ VE KALAY SEVKIYATINA İLİŞKİN ÜÇ KÜLTEPE TABLETİ,İrfan ALBAYRAK,Ankara,Anadolu Medeniyetleri Müzesi,2003-2004,2005,269
Albayrak_2005d_Kültepe'den bir toplu kayit belgesi.PDF,KÜLTEPE'DEN BİR TOPLU KAYIT BELGESİ,İrfan ALBAYRAK,Ankara,Türk Sosyal Araştırmalar Dergisi,9,2023,12-Sep
Albayrak_2006_Fünf Urkunden aus dem Archive von Peruwa.._Jaarbericht.pdf,"FÜNF URKUNDEN AUS DEM ARCHIV VON PERUWA, SOHN VON SUPPIBRA",IRFAN ALBAYRAK,Ankara,"JAARBERICHT ""EX ORIENTE LUX""",39,2005,96
Albayrak_2006_Kültepe Tabletleri IV.PDF,Kültepe tabletleri IV,İrfan Albayrak,Ankara,Türk Tarih Kurumu Yayınları,VI. Dizi — Sa. 33b,2006,"xxii, 167, 71 s."
Albayrak_2007_Eine altassyrische Urkunde... Altorientalsche Forschungen.pdf,Eine altassyrische Urkunde zum anatolischen Bodenrecht,I·rfan Albayrak,,Altoriental. Forsch.,34,2007,219–224
"Albayrak_2008_A rubaum Letter Sent to .., Fs. Garelli.pdf",Old Assyrian Studies in Memory of Paul Garelli,Cécile Michel,,,4,2008,111-115
Albayrak_2008_AOF 35-1_The Topynym Balihum in the Kültepe Texts.pdf,The Toponym Balı¯hum in the Kültepe Texts,İrfan Albayrak,,Altoriental. Forsch.,35,2008,28–34
Albayrak_2008_The Toponim Balihum..Altorientalische Forschungen.pdf,The Toponym Balı¯hum in the Kültepe Texts,İrfan Albayrak,,Altoriental. Forsch.,35,2008,28–34
"Alexander, Robert L. - Native Group Cylinder Seal Engravers of Karum Kanish Level II. Belleten 43 (171-172), 1979 573-618.pdf",Native Group Clinder Seal Engravers of Karum Kanish Level II,Robert L. ALEXANDER,,Belleten,43,1979,171-172
"Ali , Ayhan , Hasan_2003_IV. Kayseri ve Yoresi Tarih Sempozyumu Bildirileri.PDF",KAYSERİ VE YÖRESİ TARİH SEMPOZYUMU BİLDİRİLERİ,"Prof. Dr. Ali AKTAN, Doç. Dr. Ayhan ÖZTÜRK, Yrd. Doç. Dr. Hasan Ali ŞAHİN",Kayseri,,6,2003,1-111
"Alkim, U. Bahdair - Milletlerarası XII. Assiriyoloji Kongresi. Belleten 28 (109), 1964 285-300.pdf",Milletlerarası XII. Assiriyoloji Kongresi,U. Bahadır Alkım,Londra,Belleten,28,1964,109-110
Alp_1956_Die lage von šamuha.PDF,Die Lage von Samuha,Sedat Alp,,Journal of Near Eastern Studies,,1956,450-459
Alp_1991_Hethitische_Briefe.PDF,HETHITISCHE BRIEFE AUS MAŞAT - HOYÜK,,,,,1991,
Alp_1993_IstM43_gussform.pdf,Eine kârum-zeitliche Gußform und die Siegel von Karahöyük,Sedat Alp,,ISTMITT,43,1993,185–186
Alp_1997_ArAn3_BilgicFS_ticaret.pdf,KANES/NESA'DA HİTİTLERİN VARLIĞI VE YOĞUNLUĞU,Sedat ALP,,,,1997,
Alp_1997_SMEA39_bevolkerung.pdf,DIE MEHRHEIT DER EINHEIMISCHEN BEVÖLKERUNG IN DER KÄRUM-ZEIT IN KANEğ/NEğA',Sedat Alp,Ankara,SMEA,39,1997,35-48
Alp_Glossenkeilworter.pdf,Glossenkeilwörter aus den veröffentlichten Bogasköy-Texten,,Heidelberg,Jahrbuch für Kleinasiatische Forschung,I,1950,189-198
Alp_Lage der Stadt Tarhuntassa.pdf,Zur Lage der Stadt Tarhuntassa,Sedat Alp,Ankara,,,1995,
Alp_Miltary Instructions.pdf,HİTİT KIRALI IV. (?) TUTHALİYA'NIN ASKERİ FERMANI,Dr. SEDAT ALP,,Türk Dil Kurumu,XI,1947,43
Alp_Remarque sur la geographie.pdf,Remarques sur la géographie de la région du haut Yeşil-Irmak d'après les tablettes hittites de Maşat-Höyük,Sedat Alp,,,,1979,
Alp_sahhan und luzzi.pdf,Die Verpflichtungen fabban und lazzi in einem Maşat-Brief,Sedat Alp,,,,1990,
Alp_spasiya and sapasalli.pdf,"Hethitisch sapasiya-/*sausiya- „spähen"" und sapasalli- „Späher"" in den Maşat-Texten","Erich Neu, Christel Rüster",Wiesbaden,DOCUMENTUM ASIAE MINORIS ANTIQUAE,,1988,1–1
"Alparslan, M. et al eds. - Belkıs Dinçol ve Ali Dinçol’a Armağan. FS Belkıs Dinçol and Ali Dinçol. 2007.pdf",Belkıs Dinçol ve Ali Dinçol’a Armağan,"Metin Alparslan, Meltem Doğan-Alparslan, Hasan Peker",İstanbul,VITA,,2007,1–117
"Alster, B. & Oshima, T. - Sargonic Dinner at Kanes. The Old Assyrian Sargon Legend. Iraq 70, 2007 1-20.pdf",SARGONIC DINNER AT KANE: THE OLD ASSYRIAN SARGON LEGEND,BENDT ALSTER and TAKAYOSHI OSHIMA,,,,2007,
"AnSt 1, 1951.pdf",Anatolian Studies,"Seton Lloyd, Nuri Gokce, William Brice, Sinclair Hood",,Journal of the British Institute of Archaeology at Ankara,1,1951,8-Mar
"AnSt 10, 1960.pdf",ANATOLI STUDIES,"Seton Lloyd, G. E. Bean, James Mellaart, O. R. Gurney, D. R. Wilson, Selina Ballance, C. A. Burney, G. R. J. Lawson, D. Winfield, M. Q. Smith, Ann Powell, P. Hulin",London,Journal of the British Institute of Archaeology at Ankara,X,1960,3–205
"AnSt 11, 1961.pdf","Excavations at Hacilar, fourth Preliminary Report, 1960",James Mellaart,,Journal of the British Institute of Archaeology at Ankara,XI,1961,"39  
Late Bronze Age and Byzantine Crops at Beycesultan in Anatolia"
"AnSt 12, 1962.pdf",ANATOLI STUDIES,,,Journal of the British Institute of Archaeology at Ankara,XII,1962,3–185
"AnSt 13, 1963.pdf","Excavations at Can Hasan, Second Preliminary Report, 1962",D. H. French,,Journal of the British Institute of Archaeology at Ankara,XIII,1963,"29

Excavations at Catal Hiiyik, 1962, Second Preliminary Report"
"AnSt 14, 1964.pdf","Excavations at Çatal Hüyük, 1963, Third Preliminary Report",James Mellaart,,Journal of the British Institute of Archaeology at Ankara,XIV,1964,"39  
First Impressions of the Çatal Hüyük Plant Husbandry"
"AnSt 15, 1965.pdf",Recent Archaeological Research in Turkey,,,Journal of the British Institute of Archaeology at Ankara,XV,1965,"23  
The Decorated Bronze Strip from Gushchi"
"AnSt 16, 1966.pdf",A First Season of Excavations at the Urartian Citadel of Kayalidere,C. A. Burney,,Journal of the British Institute of Archaeology at Ankara,XVI,1966,55
"AnSt 17, 1967.pdf",Recent Archaeological Research in Turkey,,,Journal of the British Institute of Archaeology at Ankara,XVII,1967,"25  
Alahan Monastery, Fourth Preliminary Report"
"AnSt 18, 1968.pdf","Excavations at Can Hasan, 1967, Seventh Preliminary Report",D. H. French,,Journal of the British Institute of Archaeology at Ankara,XVIII,1968,45
"AnSt 19, 1969.pdf",Inscriptiones Comanis Cappadociae in A.D. 1967 Effossae: Titulorum Loci Supplementum,Richard P. Harper,,Journal of the British Institute of Archaeology at Ankara,XIX,1969,27
"AnSt 2, 1952.pdf",Anatolian Studies,"O. R. Gurney, D. S. Rice, Michael Gough",London,Journal of the British Institute of Archaeology at Ankara,II,1952,10-Mar
"AnSt 20, 1970.pdf",Recent Archaeological Research in Turkey,,,Journal of the British Institute of Archaeology at Ankara,XX,1970,"7  
Dedications to Men Askaenos"
"AnSt 21, 1971.pdf",An Experiment in Water-Sieving,D. H. French,,Journal of the British Institute of Archaeology at Ankara,XXI,1971,59
"AnSt 22, 1972.pdf",Anatolian Studies,Seton Howard Frederick Lloyd,Ankara,Journal of the British Institute of Archaeology at Ankara,XXII,1972,5–249
"AnSt 23, 1973.pdf",Anatolian Studies,DAVID FRENCH,Ankara,Journal of the British Institute of Archaeology at Ankara,XXIII,1973,69–72
"AnSt 24, 1974.pdf",Blucium and Peium: The Galatian Forts of King Deiotarus,Stephen Mitchell,,Journal of the British Institute of Archaeology at Ankara,XXIV,1974,"61  
Urartian Hieroglyphic Inscriptions from Altintepe"
"AnSt 25, 1975.pdf",A Reassessment of the Mycenaean Pottery at Tarsus,Elizabeth French,,Journal of the British Institute of Archaeology at Ankara,XXV,1975,"53  
A Byzantine Lamp Hoard from Anamur (Cilicia)"
"AnSt 26, 1976.pdf",Waqf and Patronage in Seljuk Anatolia: the Epigraphic Evidence,J. M. Rogers,,Journal of the British Institute of Archaeology at Ankara,XXVI,1976,69
"AnSt 27, 1977.pdf",Inscriptions of Ancyra,Stephen Mitchell,,Journal of the British Institute of Archaeology at Ankara,XXVII,1977,"63  
An Athena Parthenos from Cilicia"
"AnSt 28, 1978.pdf",The Year's Work,Martin Ferguson Smith,,Journal of the British Institute of Archaeology at Ankara,XXVIII,1978,"39  
R.E.C.A.M. Notes and Studies No. 3: A Latin Inscription from Galatia"
"AnSt 29, 1979.pdf",The Gymnasium at Alexandria Troas: Evidence for an Outline Reconstruction,A. C. G. Smith,,Anatolia Studies,XXIX,1979,23
"AnSt 3, 1953.pdf",The Sultantepe Tablets,O. R. Gurney,,Journal of the British Institute of Archaeology at Ankara,III,1953,"15  
Sultantepe"
"AnSt 30, 1980.pdf",Anatolian Studies,Oliver Robert Gurney,-,Journal of the British Institute of Archaeology at Ankara,XXX,1981,3
"AnSt 31, 1981.pdf",Hattusili I and the Problems of the Royal Succession in the Hittite Kingdom,T. R. Bryce,,Anatolia Studies,XXXI,1981,"9  
R.E.C.A.M. Notes and Studies No. 7: Inscriptions from Usak, Denizli and Hisar Koy"
"AnSt 32, 1982.pdf",The Earliest Minoans in the South-East Aegean: a Reconsideration of the Evidence,Jack L. Davis,,Journal of the British Institute of Archaeology at Ankara,XXXII,1982,33
"AnSt 33, 1983.pdf",Anatolian Studies,Richard David Barnett,Ankara,Anatolian Studies,33,1983,4-Jan
"AnSt 34, 1984.pdf",The Engraved Tridacna-Shell Discs,Baruch Brandl,,Journal of the British Institute of Archaeology at Ankara,XXXIV,1984,"15  
Diogenes of Oenoanda, New Fragments 122-124"
"AnSt 35, 1985.pdf",A Reinterpretation of the Milawata Letter in the Light of the New Join Piece,T. R. Bryce,,Journal of the British Institute of Archaeology at Ankara,XXXV,1985,"13  
Regional and Local Schools of Metalwork in Early Bronze Age Anatolia, Part II"
"AnSt 36, 1986.pdf",Oenoanda: The Water Supply and Aqueduct,E. C. Stenton and J. J. Coulton,,Journal of the British Institute of Archaeology at Ankara,XXXVI,1986,15
"AnSt 37, 1987.pdf",Four Latin Inscriptions from Satala,D. H. French and J. R. Summerly,,Journal of the British Institute of Archaeology at Ankara,XXXVII,1987,17
"AnSt 38, 1988.pdf",Tette and the Rebellions in Nuhassi,T. R. Bryce,,Journal of the British Institute of Archaeology at Ankara,XXXVI,1988,21
"AnSt 39, 1989.pdf",Some Observations on the Chronology of 8uppiluliuma's Reign,Trevor R. Bryce,,Journal of the British Institute of Archaeology at Ankara,XXXIX,1989,19
"AnSt 4, 1954.pdf",The Culture of North-East Anatolia and its Neighbours,W. Lamb,,Journal of the British Institute of Archaeology at Ankara,IV,1954,"21  
Keftiu and Karamania (Asia Minor)"
"AnSt 40, 1990.pdf",Lions of the Mountains: the Sarcophagi of Balboura,D. K. Money,,Journal of the British Institute of Archaeology at Ankara,XL,1990,"29  
Terracotta Spacer Pins in Lycian Bath Buildings"
"AnSt 41, 1991.pdf",Victors in the Meleagria and the Balbouran Elite,N. P. Milner,,Anatolia Studies,XLI,1991,"23  
Zur Entstehung der tonernen Verkleidungsplatten in Anatolien"
"AnSt 42, 1992.pdf",The Stamp Seals from Tell-esh-Sheikh,Joan Aruz,,Journal of the British Institute of Archaeology at Ankara,XLII,1992,"15  
Excavations at Buyuktepe Hoyuk, 1991: Second Preliminary Report"
"AnSt 43, 1993.pdf",The Treaty with Ulmi-Tesub,O. R. Gurney,,Journal of the British Institute of Archaeology at Ankara,XLIII,1993,"13  
Kurunta of Tarhuntasa and the Imperial Hittite Mausoleum"
"AnSt 44, 1994.pdf",The Milyas and the Attalids: a Decree of the City of Olbasa and a New Royal Letter of the Second Century B.C.,R. A. Kearsley,,Anatolia Studies,XLIV,1994,47
"AnSt 45, 1995.pdf",AN EXEDRA FOR DEMOSTHENES OF OENOANDA,,,ANATOLIAN STUDIES,,1991,114
"AnSt 46, 1996.pdf","The Roman-Period Necropolis of Ariassos, Pisidia",Sarah H. Cormack,,Journal of the British Institute of Archaeology at Ankara,XLVI,1996,"1

Excavations at Sos Hoyuk, 1995: Second Preliminary Report"
"AnSt 47, 1997.pdf",Votive Reliefs from Balboura and its Environs,"Tyler Jo Smith, N. P. Milner",,Anatolian Studies,XLVII,1997,"3  
A paramone Text on a Family Funerary bomos at Burdur Museum"
"AnSt 48, 1998.pdf",Anatolian Studies,"J. D. Hawkins, P. A. Mountjoy, W. J. Eastwood, N. Roberts, H. F Lamb, Susanne Berndt-Ersoz, N. P. Milner, Martin Ferguson Smith, B. GOrler, M. E. Martin, S. Kapur, N. Sakarya, E. A. Fitzpatrick, M. Pagliai, G. Kelling, E. Ak9a, C. Karaman, B. Sakarya",London,Journal of the British Institute of Archaeology at Ankara,48,1998,1–181
